_id,City,Year,Average No. of daily trips,Average No. of passengers (day-to-day basis),Average Trip length in km (daily),Average cost per km in rupees (daily),Revenue per km in rupees
1,Agra,2015-16,245,20222,16546,301632,18.23
2,Agra,2016-17,258,16392,15030,273793,18.22
3,Agra,2017-18,258,16742,16408,305810,18.4
4,Aizawl,2015-16,258,200,45,5,5
5,Aizawl,2016-17,258,200,45,5,5
6,Aizawl,2017-18,258,200,45,5,5
7,Aurangabad Maharashtra,2015-16,258,17551,11.41,32.79,28.18
8,Aurangabad Maharashtra,2016-17,258,15975,9.78,36.84,25.6
9,Aurangabad Maharashtra,2017-18,258,14186,8.9,37.17,27.57
10,Bareilly,2015-16,258,975000,195.22,5,4994
11,Bareilly,2016-17,258,975000,195.22,5,4994
12,Bareilly,2017-18,258,975000,195.22,5,4994
13,Belagavi,2016-17,258,90000,9,0.44,27659
14,Belagavi,2017-18,258,93000,11,0.43,2755
15,Bengaluru,2015-16,258,50.74,18.44,4907.932087,4291.059148
16,Bengaluru,2016-17,258,45.34,18.57,5628.779131,4210.19571
17,Bengaluru,2017-18,258,44.37,19.1,5870.074174,4237.467373
18,Bhopal,2015-16,258,67842,23,NA,25.94
19,Bhopal,2016-17,258,58107,23.5,NA,33.64
20,Bhopal,2017-18,258,145447,27,NA,26.82
21,Bhubneshwar,2018-19,258,68000,36000,NA,25
22,Chandigarh ,2015-16,258,1.41,171.64,57.47,37.55
23,Chandigarh ,2016-17,258,1.22,186.67,55.73,35.22
24,Chandigarh ,2017-18,258,1.36,186.54,57.35,34.53
25,Davanagere,2015-16,258,6738,16,33.89,22.71
26,Davanagere,2016-17,258,15244,16,33.33,24.08
27,Davanagere,2017-18,258,43673,16,32.38,25.74
28,Dehradun,2015-16,258,NA,29005,NA,NA
29,Dehradun,2016-17,258,NA,29005,NA,NA
30,Dehradun,2017-18,258,NA,27855,NA,NA
31,Erode,2015-16,258,90432,35,39,29.02
32,Erode,2016-17,258,88324,35,42,28.54
33,Erode,2017-18,258,64998,35,45,27.79
34,Faridabad,2015-16,258,7680,12000,17,30
35,Faridabad,2016-17,258,6960,12500,17,29
36,Faridabad,2017-18,258,9840,10500,17,30
37,Indore,2015-16,258,70134,20000,17.53,25.52
38,Indore,2016-17,258,88354,37400,20.54,29.95
39,Indore,2017-18,258,155428,37400,26.94,37.68
40,Jabalpur,2015-16,258,35000,18.5,36,36.8
41,Jabalpur,2016-17,258,38000,18.5,38,37.5
42,Jabalpur,2017-18,258,40000,18,41,39
43,Kanpur,2015-16,258,11366,11649,36.05,18.62
44,Kanpur,2016-17,258,23316,18927,37,18.98
45,Kanpur,2017-18,258,19216,20238,39.66,20.92
46,Kohima,2015-16,258,180,64,9,90
47,Kohima,2016-17,258,180,64,5,80
48,Kohima,2017-18,258,160,64,5,70
49,Kota,2016-17,258,5000,186,49,7.54
50,Kota,2017-18,258,6000,186,49,7.54
51,Lucknow,2015-16,258,270,29,25.22,20.16
52,Lucknow,2016-17,258,216,28,24.47,17.61
53,Lucknow,2017-18,258,225,30,28.2,21.62
54,Madurai  ,2015-16,258,545945,60,34,24
55,Madurai  ,2016-17,258,524293,62,36,23
56,Madurai  ,2017-18,258,513562,66,41,27
57,Mangaluru,2015-16,258,158944,NA,NA,NA
58,Mangaluru,2016-17,258,0,NA,NA,NA
59,Mangaluru,2017-18,258,256,NA,NA,NA
60,Muzaffarpur,2015-16,258,4201,5102,15,26
61,Muzaffarpur,2016-17,258,7840,11198,15,25
62,Muzaffarpur,2017-18,258,7851,11202,15,25
63,Nagpur,2015-16,258,NA,NA,NA,NA
64,Nagpur,2016-17,258,35838,16.5,63.62,28
65,Nagpur,2017-18,258,157766,14.98,59.93,24
66,New Town Kolkota,2015-16,258,90407,7.67,28.36,33.9
67,New Town Kolkota,2016-17,258,139211,7.67,29.15,35.6
68,New Town Kolkota,2017-18,258,152093,7.67,31.94,36.91
69,Pimpri Chinchwad,2015-16,258,1124328,18,81.01,67.77
70,Pimpri Chinchwad,2016-17,258,1079223,18,85.19,65.94
71,Pimpri Chinchwad,2017-18,258,1089208,22,76.98,58.73
72,Prayagraj,2015-16,258,20600,NA,25.35,18.79
73,Prayagraj,2016-17,258,18200,NA,25.36,17.96
74,Prayagraj,2017-18,258,17600,NA,26.3,18.31
75,Pune,2015-16,258,1124328,18,81.01,67.77
76,Pune,2016-17,258,1079223,18,85.19,65.94
77,Pune,2017-18,258,1089208,22,76.98,58.73
78,Raipur,2015-16,258,18840,11304,22608,45216
79,Raipur,2016-17,258,18840,11304,22608,45216
80,Raipur,2017-18,258,18840,11304,22608,45216
81,Salem,2015-16,258,319838,21,34.529,18.28
82,Salem,2016-17,258,324463,21,38.456,18.27
83,Salem,2017-18,258,325992,21,45.096,20.49
84,Shillong,2015-16,258,40,30,83,40
85,Shillong,2016-17,258,35,25,75,35
86,Shillong,2017-18,258,30,20,75,35
87,Shivamogga,2015-16,258,NA,NA,NA,NA
88,Shivamogga,2016-17,258,6200,190,31.2,18
89,Shivamogga,2017-18,258,8800,210,32.85,22
90,Silvassa,2015-16,258,1705,1012,32,10
91,Silvassa,2016-17,258,1631,1044,36,12
92,Silvassa,2017-18,258,1525,1002,42,10
93,Solapur,2015-16,258,72180,300,55,26
94,Solapur,2016-17,258,30363,250,49,28
95,Solapur,2017-18,258,22121,225,48,23
96,Surat,2015-16,258,8709,4.3,38.09,8.29
97,Surat,2016-17,258,82266,6,35.97,14.55
98,Surat,2017-18,258,80077,5.9,36.32,12.45
99,Thanjavur,2015-16,258,85000,30,31,23
100,Thanjavur,2016-17,258,80000,30,35,24
101,Thanjavur,2017-18,258,76000,32,40,29
102,Tiruchirappalli ,2015-16,258,332453,22.42,30.36,27.91
103,Tiruchirappalli ,2016-17,258,329111,23.03,33.88,31.55
104,Tiruchirappalli ,2017-18,258,263254,28.81,38.43,34.45
105,Tirunelveli,2015-16,258,96000,35,0.55,19.05
106,Tirunelveli,2016-17,258,96640,35,0.58,21.78
107,Tirunelveli,2017-18,258,96640,35,0.58,27.61
108,Tirupati,2015-16,258,36000,11.87,119.7,90
109,Tirupati,2016-17,258,NA,NA,NA,NA
110,Tirupati,2017-18,258,NA,NA,NA,NA
111,Tiruppur,2015-16,258,160000,NA,28.86,19.92
112,Tiruppur,2016-17,258,166000,NA,31.13,20.51
113,Tiruppur,2017-18,258,175000,NA,38.78,22.8
114,Vadodara,2015-16,258,45000,13750,18,12
115,Vadodara,2016-17,258,45000,13750,19,14
116,Vadodara,2017-18,258,115000,30000,28,30
117,Varanasi,2015-16,258,15068,38.2,21.33,20.07
118,Varanasi,2016-17,258,13205,38.38,22.37,21.1
119,Varanasi,2017-18,258,12792,37.12,23.46,20.01
120,Visakhapatnam,2015-16,258,269257,20,39.56,34.87
121,Visakhapatnam,2016-17,258,279798,20,42.87,36.59
122,Visakhapatnam,2017-18,258,304848,20,43.92,40.21
123,Warangal,2015-16,258,8.22,3.53,33.5,31.11
124,Warangal,2016-17,258,8.32,3.65,33.81,31.03
125,Warangal,2017-18,258,9.54,3.85,34.58,33.57
